2     3.9	74
2     4	        68
2     4	        76
2     3.5	80
2     4.1	84
1     2.3	50
2     4.7	93
1     1.7	55
2     4.9	76
1     1.7	58
2     4.6	74
2     3.4	75
2     4.3	80
1     1.7	56
2     3.9	80
2     3.7	69
1     3.1	57
2     4	        90
1     1.8	42
2     4.1	91
1     1.8	51
2     3.2	79
1     1.9	53
2     4.6	82
1     2	        51
2     4.5	76
2     3.9	82
2     4.3	84
1     2.3	53
2     3.8	86
1     1.9	51
2     4.6	85
1     1.8	45
2     4.7	88
1     1.8	51
2     4.6	80
1     1.9	49
2     3.5	82
2     4	        75
2     3.7	73
2     3.7	67
2     4.3	68
2     3.6	86
2     3.8	72
2     3.8	75
2     3.8	75
1     2.5	66
2     4.5	84
2     4.1	70
2     3.7	79
1     3.8	60
2     3.4	86
2     4	        71
2     2.3	67
2     4.4	81
2     4.1	76
2     4.3	83
2     3.3	76
1     2	        55
2     4.3	73
1     2.9	56
2     4.6	83
1     1.9	57
2     3.6	71
2     3.7	72
2     3.7	77
1     1.8	55
2     4.6	75
2     3.5	73
2     4	        70
2     3.7	83
1     1.7	50
2     4.6	95
1     1.7	51
2     4	        82
1     1.8	54
2     4.4	83
1     1.9	51
2     4.6	80
2     2.9	78
2     3.5	81
1     2	        53
2     4.3	89
1     1.8	44
2     4.1	78
1     1.8	61
2     4.7	73
2     4.2	75
2     3.9	73
2     4.3	76
1     1.8	55
2     4.5	86
1     2	        48
2     4.2	77
2     4.4	73
2     4.1	70
2     4.1	88
2     4	        75
2     4.1	83
1     2.7	61
2     4.6	78
1     1.9	61
2     4.5	81
1     2	        51
2     4.8	80
2     4.1	79
2     4.1	82
2     4.2	80
2     4.5	76
1     1.9	56
2     4.7	82
1     2	        47
2     4.7	76
1     2.5	61
2     4.3	75
2     4.4	72
2     4.4	74
2     4.3	69
2     4.6	78
1     2.1	52
2     4.8	91
1     4.1	66
2     4	        71
2     4	        75
2     4.4	81
2     4.1	77
2     4.3	74
2     4	        70
2     3.9	83
1     3.2	53
2     4.5	82
1     2.2	62
2     4.7	73
2     4.6	84
1     2.2	58
2     4.8	82
2     4.3	77
2     3.8	75
2     4	        77
2     4.1	77
1     1.8	53
2     4.4	75
2     4	        78
1     2.2	51
2     5.1	81
1     1.9	52
2     5	        76
2     4.4	73
2     4.5	84
2     3.8	72
2     4.3	89
2     4.4	75
1     2.2	57
2     4.8	81
1     1.9	49
2     4.7	87
1     1.8	43
2     4.8	94
1     2	        45
2     4.4	81
1     2.5	59
2     4.3	82
2     4.4	80
1     1.9	54
2     4.7	75
2     4.3	73
1     2.2	57
2     4.7	80
1     2.3	51
2     4.6	77
1     3.3	66
2     4.2	77
1     2.9	60
2     4.6	86
1     3.3	62
2     4.2	75
2     2.6	67
2     4.6	69
2     3.7	84
1     1.8	58
2     4.7	90
2     4.5	82
2     4.5	71
2     4.8	80
1     2	        51
2     4.8	80
1     1.9	62
2     4.7	84
1     2	        51
2     5.1	81
2     4.3	83
2     4.8	84
2     3	        72
1     2.1	54
2     4.6	75
2     4	        74
1     2.2	51
2     5.1	91
1     2.9	60
2     4.3	80
1     2.1	54
2     4.7	80
2     4.5	70
1     1.7	60
2     4.2	86
2     4.3	78
1     1.7	51
2     4.4	83
2     4.2	76
1     2.2	51
2     4.7	90
2     4	        71
1     1.8	49
2     4.7	88
1     1.8	52
2     4.5	79
1     2.1	61
2     4.2	81
1     2.1	48
2     5.2	84
1     2	        63
